codename,name,type,pic
tg1,TG1,tg,
tg2,TG2,tg,
tg3,TG3,tg,
tg4,TG4,tg,
tg5,TG5,tg,
tgla7,TG La7,tg,
skytg24,Sky TG24,tg,
tgcom24,TGCom24,tg,
rainews24,Rai News 24,tg,
portaaporta,Porta a Porta (Rai 1),talk,
cartabianca,Carta Bianca (Rai 3),talk,
dimartedi,DiMartedì (La7),talk,
ottoemezzo,Otto e Mezzo (La7),talk,
lariachetira,L'Aria che Tira (La7),talk,
piazzapulita,Piazza Pulita (La7),talk,
nonelarena,Non è l'Arena,talk,
quartarepubblica,Quarta Repubblica (Rete 4),talk,
drittoerovescio,Dritto e Rovescio (Rete 4),talk,
fuoridalcoro,Fuori dal Coro (Rete 4),talk,
corriere,Corriere della Sera,press,
repubblica,La Repubblica,press,
lastampa,La Stampa,press,
ilsole24ore,Il Sole 24 Ore,press,
ilgiornale,Il Giornale,press,
libero,Libero,press,
ilfattoquotidiano,Il Fatto Quotidiano,press,
avvenire,Avvenire,press,
ilmessaggero,Il Messaggero,press,
ilgazzettino,Il Gazzettino,press,
lanazione,La Nazione,press,
ilrestodelcarlino,Il Resto del Carlino,press,
ilmattino,Il Mattino,press,
laverita,La Verità,press,
ilmanifesto,Il Manifesto,press,
domani,Domani,press,
open,Open,press,
ilpost,Il Post,press,
fanpage,Fanpage,press,
huffpost,HuffPost Italia,press,
radioanchio,Radio Anch'io (Rai Radio 1),radio,
radio24,Radio 24,radio,
rtl1025,RTL 102.5,radio,
radioradicale,Radio Radicale,radio,
radio1,Rai Radio 1,radio,
radio2,Rai Radio 2,radio,
radio3,Rai Radio 3,radio,
radiomaria,Radio Maria,radio,
rds,RDS,radio,
radioitalia,Radio Italia,radio,
